 0.05	1.011e+02
 0.10	7.003e+01
 0.15	3.699e+01
 0.20	2.299e+01
 0.25	1.561e+01
 0.30	1.124e+01
 0.35	8.454e+00
 0.40	6.590e+00
 0.45	5.269e+00
 0.50	4.306e+00
 0.55	3.585e+00
 0.60	3.030e+00
 0.65	2.593e+00
 0.70	2.241e+00
 0.75	1.958e+00
 0.80	1.727e+00
 0.85	1.535e+00
 0.90	1.370e+00
 0.95	1.231e+00
 1.00	1.111e+00
 1.05	1.008e+00
 1.10	9.197e-01
 1.15	8.433e-01
 1.20	7.763e-01
 1.25	7.135e-01
 1.30	6.613e-01
 1.35	6.135e-01
 1.40	5.719e-01
 1.45	5.325e-01
 1.50	4.977e-01
 1.55	4.662e-01
 1.60	4.382e-01
 1.65	4.112e-01
 1.70	3.886e-01
 1.75	3.663e-01
 1.80	3.465e-01
 1.85	3.282e-01
 1.90	3.119e-01
 1.95	2.954e-01
 2.00	2.808e-01
 2.05	2.681e-01
 2.10	2.554e-01
 2.15	2.439e-01
 2.20	2.326e-01
 2.25	2.224e-01
 2.30	2.125e-01
 2.35	2.040e-01
 2.40	1.956e-01
 2.45	1.878e-01
 2.50	1.803e-01
 2.55	1.731e-01
 2.60	1.662e-01
 2.65	1.607e-01
 2.70	1.550e-01
 2.75	1.490e-01
 2.80	1.438e-01
 2.85	1.385e-01
 2.90	1.340e-01
 2.95	1.294e-01
 3.00	1.254e-01
 3.05	1.211e-01
 3.10	1.172e-01
 3.15	1.136e-01
 3.20	1.101e-01
 3.25	1.068e-01
 3.30	1.031e-01
 3.35	1.003e-01
 3.40	9.713e-02
 3.45	9.419e-02
 3.50	9.191e-02
 3.55	8.906e-02
 3.60	8.683e-02
 3.65	8.451e-02
 3.70	8.223e-02
 3.75	7.988e-02
 3.80	7.752e-02
 3.85	7.566e-02
 3.90	7.390e-02
 3.95	7.194e-02
 4.00	6.993e-02
 4.05	6.827e-02
 4.10	6.658e-02
 4.15	6.486e-02
 4.20	6.351e-02
 4.25	6.190e-02
 4.30	6.040e-02
 4.35	5.918e-02
 4.40	5.783e-02
 4.45	5.648e-02
 4.50	5.510e-02
 4.55	5.408e-02
 4.60	5.284e-02
 4.65	5.175e-02
 4.70	5.056e-02
 4.75	4.951e-02
 4.80	4.836e-02
 4.85	4.731e-02
 4.90	4.651e-02
 4.95	4.542e-02
 5.00	4.428e-02
 5.05	4.366e-02
 5.10	4.282e-02
 5.15	4.178e-02
 5.20	4.102e-02
 5.25	4.032e-02
 5.30	3.947e-02
 5.35	3.857e-02
 5.40	3.793e-02
 5.45	3.716e-02
 5.50	3.643e-02
 5.55	3.587e-02
 5.60	3.529e-02
 5.65	3.462e-02
 5.70	3.387e-02
 5.75	3.327e-02
 5.80	3.261e-02
 5.85	3.229e-02
 5.90	3.169e-02
 5.95	3.103e-02
 6.00	3.066e-02
 6.05	3.003e-02
 6.10	2.941e-02 
 6.15	2.900e-02
 6.20	2.847e-02
 6.25	2.801e-02
 6.30	2.753e-02
 6.35	2.698e-02
 6.40	2.647e-02
 6.45	2.621e-02
 6.50	2.579e-02
 6.55	2.540e-02
 6.60	2.494e-02
 6.65	2.459e-02
 6.70	2.417e-02
 6.75	2.378e-02
 6.80	2.345e-02
 6.85	2.298e-02
 6.90	2.274e-02
 6.95	2.221e-02
 7.00	2.199e-02
 7.05	2.170e-02
 7.10	2.140e-02
 7.15	2.103e-02
 7.20	2.063e-02
 7.25	2.028e-02
 7.30	2.017e-02
 7.35	1.976e-02
 7.40	1.947e-02
 7.45	1.927e-02
 7.50	1.903e-02
 7.55	1.870e-02
 7.60	1.845e-02
 7.65	1.814e-02
 7.70	1.788e-02
 7.75	1.767e-02
